Category,Current (Curses),New (Textual),File Location,Priority,Notes
Screen,MainMenu,MainMenuScreen,ui/screens/main_menu_screen.py,High,Entry point - start here
Screen,GameTerminal,GameScreen,ui/screens/game_screen.py,High,Primary gameplay screen
Screen,PauseMenu,PauseScreen (Modal),ui/screens/pause_screen.py,Medium,Overlay on game screen
Screen,N/A,SettingsScreen,ui/screens/settings_screen.py,Low,New feature
Screen,career_stats print,CareerScreen,ui/screens/career_screen.py,Low,Dedicated screen for progression
Screen,help_screen print,HelpScreen,ui/screens/help_screen.py,Low,Better tutorial/help display
Screen,N/A,DialogScreen,ui/screens/dialog_screen.py,Medium,Reusable modal dialogs

Widget,Player stats display,PlayerStatsPanel,ui/widgets/stats_header.py,High,Composite widget
Widget,Cow stats display,CowStatsPanel,ui/widgets/stats_header.py,High,Composite widget
Widget,N/A,HPBar,ui/widgets/hp_bar.py,High,Visual health display
Widget,Dialog text,DialogueWidget,ui/widgets/dialogue_widget.py,High,Typewriter effect
Widget,Menu list,MenuListWidget,ui/widgets/action_menu.py,High,Dynamic menu system
Widget,N/A,CombatLog,ui/widgets/combat_display.py,High,Scrollable combat history
Widget,N/A,CombatDisplay,ui/widgets/combat_display.py,High,Full combat UI
Widget,Shop interface,ShopDisplay,ui/widgets/shop_widget.py,Medium,Two-panel shop
Widget,ASCII art display,ASCIIArtPanel,ui/widgets/ascii_art.py,Low,Optional visual
Widget,Inventory list,InventoryTable,ui/widgets/inventory_table.py,Medium,DataTable with colors

Function,game_terminal.draw(),Widget.update(),Multiple widgets,High,No coordinates needed
Function,game_terminal.draw_menu(),MenuListWidget.render(),ui/widgets/action_menu.py,High,Automatic layout
Function,game_terminal.get_menu_choice(),MenuListWidget.on_key(),ui/widgets/action_menu.py,High,Event-driven input
Function,game_terminal.draw_dialog(),DialogueWidget.show_dialogue(),ui/widgets/dialogue_widget.py,High,Word wrap + effects
Function,game_terminal.draw_player_stats(),PlayerStatsPanel reactive,ui/widgets/stats_header.py,High,Auto-update on change
Function,game_terminal.draw_cow_stats(),CowStatsPanel reactive,ui/widgets/stats_header.py,High,Auto-update on change
Function,game_terminal.clear_screen(),Screen.refresh(),Built-in,High,Automatic dirty tracking
Function,game_terminal.refresh(),N/A,N/A,High,Textual handles automatically
Function,game_terminal.get_key_variables(),Screen.BINDINGS,Screen definitions,High,Declarative bindings
Function,game_terminal.prompt_and_draw_menu(),Widget.compose() + on_key(),Multiple widgets,High,Reactive composition
Function,game_terminal.draw_separator(),CSS border,ui/styles/main.css,Low,CSS styling
Function,game_terminal.enable_mouse(),App initialization,ui/textual_app.py,Low,Built-in support
Function,stdscr.getch(),async on_key(event),Event handlers,High,Non-blocking
Function,stdscr.addstr(y\, x),Widget at position,CSS layout,High,Layout engine handles
Function,curses.initscr(),App.run(),ui/textual_app.py,High,Framework initialization
Function,curses.endwin(),App.exit(),ui/textual_app.py,High,Framework cleanup

Constant,WIDTH = 85,CSS width,ui/styles/main.css,Medium,Responsive instead
Constant,HEIGHT = 30,CSS height,ui/styles/main.css,Medium,Responsive instead
Constant,PLAYER_INFO_Y = 0,CSS layout grid,ui/styles/main.css,Medium,Grid row 1
Constant,COW_INFO_X = 50,CSS layout grid,ui/styles/main.css,Medium,Grid column 2
Constant,MENU_Y_START = 25,CSS dock bottom,ui/styles/main.css,Medium,dock: bottom
Constant,LEFT_MARGIN = 2,CSS padding,ui/styles/main.css,Low,padding: 0 2
Constant,RIGHT_MARGIN = 2,CSS padding,ui/styles/main.css,Low,padding: 0 2

Pattern,Manual coordinate math,CSS alignment,ui/styles/,High,center middle etc
Pattern,Blocking input loop,Async event handlers,ui/screens/,High,Non-blocking
Pattern,Full screen clear,Dirty region updates,Automatic,High,Performance gain
Pattern,Manual word wrapping,CSS max-width,ui/styles/,Medium,Automatic wrapping
Pattern,String truncation,CSS overflow,ui/styles/,Medium,ellipsis support
Pattern,Arrow key codes,Textual key events,Event handlers,High,Unified interface
Pattern,Mouse event handling,Textual mouse events,Event handlers,Medium,Built-in support

